"","Gene.Symbol","ProbeID.x","logFC.x","AveExpr.x","t.x","P.Value.x","adj.P.Val.x","B.x","ProbeID.y","logFC.y","AveExpr.y","t.y","P.Value.y","adj.P.Val.y","B.y","ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","fisher_stat","df","fisher_p","adj_fisher_p"
"1806","KCNF1","210263_at",-0.761009184435936,5.67999191340583,-9.51603334597933,2.49274899258344e-17,4.27244674512537e-15,28.8342506092116,"210263_at",0.47664401927014,8.29233185200149,7.08647648890641,1.35283597391154e-11,6.21565603979944e-09,15.9415351564064,"8040265",-0.196936292763416,8.50435642090866,-4.29688279444431,4.72985995068643e-05,0.00238514818192264,1.84859755828411,146.431646500896,6,4.3935324481205e-29,5.62912895814577e-26
"2316","NAV2","218330_s_at",1.05990723767881,7.04817650604972,10.7706378293428,9.72779176430139e-21,6.90736382744388e-18,36.5161308818158,"218330_s_at",-0.377386319487437,8.85083629751128,-6.7567710288307,9.58672279965349e-11,2.14817241422563e-08,14.0675281708893,"7938834",0.120948853620877,9.50298069440664,2.43984547599603,0.0168483821088237,0.0948001410005154,-3.42410487223313,146.461715202421,6,4.32972594671516e-29,5.62912895814577e-26
"3083","RHOQ","212119_at",1.36669827264091,7.81965010907269,10.1901236626114,3.7661437882342e-19,1.32847684917229e-16,32.9371201051174,"212120_at",-0.455025929898099,9.93163981108411,-7.84822174374766,1.17846105136348e-13,3.69428377950007e-10,20.4895699768788,"8041808",0.038446098107217,9.89960724586867,1.01543305578504,0.312884457218722,0.532296840997946,-5.71645081730583,146.708766550041,6,3.83935104991289e-29,5.62912895814577e-26
"176","ANP32B","201305_x_at",1.40480808905034,8.36568950320712,12.405979163228,2.88880094811106e-25,3.15890383675944e-21,46.7190917538198,"201305_x_at",-0.413691448516278,10.0719885716929,-4.88811909960165,1.80574191844827e-06,2.22412569027167e-05,4.71019190371541,"8156750",0.123497859493478,8.76791293577133,2.03543417298598,0.0450348649764358,0.173733022145172,-4.25118076202018,145.65728626618,6,6.40356188041926e-29,7.61840904859023e-26
"2608","PCYOX1L","218953_s_at",-1.44556511145197,5.87075135893323,-12.2618931680641,7.26381503708768e-25,6.61915145254615e-21,45.8169191064638,"218953_s_at",0.315818496741855,8.46160938425424,4.22406110748413,3.3461879935041e-05,0.000228748738587523,1.97424132733108,"8109149",-0.15159846835817,9.29302040579208,-3.2138777398561,0.00187278431250529,0.024179177686502,-1.49536710327926,144.334309689162,6,1.21867059600141e-28,1.35321182979996e-25
"4192","ZFP36L1","211962_s_at",1.68214028620166,7.09914149010084,9.9234335201425,1.99367896647051e-18,5.47760791415955e-16,31.306033085796,"211962_s_at",-0.688946818348194,9.59020045737127,-6.85067939333366,5.52228562268085e-11,1.4984918852699e-08,14.5951409662039,"7979813",0.306098136804115,10.318820786282,3.39038184672619,0.00107543512386899,0.0167977544472376,-0.997674706487117,142.422448268507,6,3.08759981597349e-28,3.2141914084284e-25
"2956","PXDC1","212923_s_at",1.28328938771737,6.30377833610637,10.3401779547748,1.46880482484825e-19,6.08385634837713e-17,33.8587861981681,"212923_s_at",-0.462474821007199,8.19805113374039,-6.40742602135269,7.13647999132299e-10,7.83508119529286e-08,12.1493969637268,"8123678",0.213987715280652,8.02073694804719,3.3065640223864,0.00140282858233902,0.0201009575323863,-1.23652118735585,141.989127358767,6,3.81158791946477e-28,3.73445931685913e-25
"3744","TIMM50","224913_s_at",-1.14122301800805,4.95902505884321,-10.4472837678851,7.48844061215489e-20,3.46974991923363e-17,34.518222350706,"224913_s_at",0.269149612714994,8.25944999950867,5.02122316143869,9.67476301514914e-07,1.39679870043116e-05,5.29845166491353,"8028705",-0.181222869653277,9.89079314231596,-5.07569062593298,2.36628147639478e-06,0.000426576958589727,4.61641365592481,141.682214038373,6,4.42484746888365e-28,4.09445885787367e-25
"1695","IFNAR2","204786_s_at",0.938186269929973,6.86458502100988,10.4503053955069,7.34733036904079e-20,3.43346399937868e-17,34.5368441185968,"227125_at",-0.235122257310543,7.23062134741734,-7.17991813596254,7.68313212875706e-12,4.07840047708536e-09,16.4834319386852,"8068238",0.0444523846995555,7.83507843738927,0.989847394076206,0.32515886473964,0.543924376751358,-5.74108481489819,141.545600103749,6,4.72865414861528e-28,4.14528755259664e-25
"3839","TNPO1","209225_x_at",1.10460614932129,9.40336461217151,11.5573022275186,6.55641433261246e-23,1.49363314014828e-19,41.4103079687442,"212635_at",-0.211113098105375,8.88427283250548,-5.88378012271954,1.26031742473317e-08,5.72324378714999e-07,9.41271921945102,"8106122",-0.0217594982187741,9.99737541936122,-0.479061762413521,0.633169008690653,0.788695839376479,-6.10314755998261,139.450696614864,6,1.3087991061121e-27,1.08996789557016e-24
"2398","NFKBIA","201502_s_at",1.41332245720704,7.15910874994083,10.0727386976245,7.85169516711827e-19,2.4391558708079e-16,32.2180349164745,"201502_s_at",-0.656223444065045,10.2295032108403,-6.81318588765154,6.88683968385015e-11,1.72723834731425e-08,14.3838918288961,"7978644",0.231488449347657,10.2054826989861,2.58159246224735,0.0116125122522365,0.0755646020004522,-3.10367921364658,139.085766316053,6,1.56269156689702e-27,1.23943765420175e-24
"2916","PSMD8","200820_at",-1.20367912368596,6.2463090253744,-8.74559829058866,2.72889759745413e-15,2.38342613643458e-13,24.2419977582015,"200820_at",0.304222456741101,9.41250346409845,5.2588847049994,3.07750643782473e-07,5.84042570246675e-06,6.38061804709341,"8028380",-0.304322180897229,10.7931087908633,-6.90266397812405,9.87879214405652e-10,4.96656390173754e-06,11.8636480540857,138.528630671974,6,2.04841362447491e-27,1.55083533314792e-24
"1870","KLF15","231015_at",1.15514073683297,6.87130939482631,10.4745940383742,6.3052681623794e-20,3.0908190071386e-17,34.6865657634299,"231015_at",-0.526122758081383,8.61451636843791,-6.24728259643396,1.74840421268866e-09,1.47409230536221e-07,11.2943691416794,"8090343",0.166526264585018,8.80830723651351,2.72331920549791,0.00789395129279344,0.0597103353466931,-2.76811007608941,138.433074350143,6,2.14573826074583e-27,1.55388767265141e-24
"1257","FAM63A","226062_x_at",1.20039310155764,8.37135966184625,11.9614325015488,4.9634083519096e-24,2.46703956036961e-20,43.9363493325644,"226062_x_at",-0.278576815753947,8.55353737527959,-4.58520227533389,7.12302162321048e-06,6.56194114994158e-05,3.42039162680177,"7919872",0.136284765740029,8.50747270158667,2.26256343934531,0.0263054853591928,0.124870289997126,-3.80284914192616,138.300211778855,6,2.28878763748881e-27,1.58841862041724e-24
"819","CRMP1","202517_at",-0.979173534761575,7.68691439426084,-8.39541689360714,2.20942500741906e-14,1.43298116584386e-12,22.1983110723085,"202517_at",0.365682760401244,10.1755420266353,6.84800878556174,5.60997705299827e-11,1.51096303139252e-08,14.5800679053791,"8099172",-0.22413200026835,10.4118016659064,-5.24046853972695,1.21824568620083e-06,0.000319400996956133,5.23272110533005,137.330894175739,6,3.66496278854526e-27,2.4417448082404e-24
